CUADRANTE,MUNICIPIO,SECTOR,HOMICIDIO DOLOSO,LESIONES POR ARMA DE FUEGO,ROBO A BORDO DE METRO C.V.,ROBO A BORDO DE METRO S.V.,ROBO A BORDO DE MICROBUS C.V.,ROBO A BORDO DE MICROBUS S.V.,ROBO A BORDO DE TAXI C.V.,ROBO A CASA HABITACION C.V.,ROBO A CUENTAHABIENTE C.V.,ROBO A NEGOCIO C.V.,ROBO A REPARTIDOR C.V.,ROBO A REPARTIDOR S.V.,ROBO A TRANSEUNTE C.V.,ROBO A TRANSEUNTE S.V.,ROBO A TRANSPORTISTA C.V.,ROBO A TRANSPORTISTA S.V.,ROBO DE VEHICULO AUTOMOTOR C.V.,ROBO DE VEHICULO AUTOMOTOR S.V.,SECUESTRO,VIOLACION,LATITUDE,LONGITUDE
O-3.6.9,ALVARO OBREGON,ALPES,0,1,0,0,0,1,1,0,0,1,0,1,9,3,9,3,5,1,0,1,19.345253507488003,-99.21112489578715
O-3.6.9,ALVARO OBREGON,ALPES,0,0,0,0,1,0,1,0,2,3,0,0,9,2,9,2,1,11,0,3,19.345253507488003,-99.21112489578715
O-3.6.9,ALVARO OBREGON,ALPES,2,0,0,0,0,0,0,1,0,5,5,0,20,4,20,4,2,6,0,9,19.345253507488003,-99.21112489578715
O-3.6.9,ALVARO OBREGON,ALPES,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,2,19.345253507488003,-99.21112489578715
O-3.6.9,ALVARO OBREGON,ALPES,0,0,0,0,0,0,0,0,0,2,1,1,6,0,6,0,1,0,0,2,19.345253507488003,-99.21112489578715
O-3.6.9,ALVARO OBREGON,ALPES,0,0,0,0,4,1,1,1,1,4,2,2,10,2,10,2,1,12,0,1,19.345253507488003,-99.21112489578715
O-3.6.9,ALVARO OBREGON,ALPES,1,0,0,0,0,0,1,0,1,6,0,0,5,3,5,3,2,4,0,2,19.345253507488003,-99.21112489578715
O-3.6.9,ALVARO OBREGON,ALPES,0,1,0,0,0,1,1,0,0,1,2,2,19,6,19,6,0,4,0,9,19.345253507488003,-99.21112489578715
O-3.6.9,ALVARO OBREGON,ALPES,1,1,0,0,1,2,0,1,0,2,2,1,9,0,9,0,6,3,0,1,19.345253507488003,-99.21112489578715
O-3.6.9,ALVARO OBREGON,ALPES,0,0,0,0,0,0,0,1,0,3,0,0,5,0,5,0,0,1,0,6,19.345253507488003,-99.21112489578715
O-3.6.9,ALVARO OBREGON,PLATEROS,0,0,0,2,0,0,2,0,0,3,1,0,39,3,39,3,1,3,0,4,19.39411683972032,-99.20034736912335
O-3.6.9,ALVARO OBREGON,PLATEROS,0,0,0,0,1,0,0,0,0,2,0,0,8,1,8,1,0,9,0,1,19.39411683972032,-99.20034736912335
O-3.6.9,ALVARO OBREGON,PLATEROS,0,0,0,0,0,1,0,1,1,1,1,1,17,1,17,1,2,14,0,2,19.39411683972032,-99.20034736912335
O-3.6.9,ALVARO OBREGON,PLATEROS,1,0,0,0,0,0,0,1,0,2,2,0,29,3,29,3,1,9,0,2,19.39411683972032,-99.20034736912335
O-3.6.9,ALVARO OBREGON,PLATEROS,2,3,0,0,0,1,0,0,0,4,9,1,54,1,54,1,3,3,0,4,19.39411683972032,-99.20034736912335
O-3.6.9,ALVARO OBREGON,PLATEROS,9,2,0,0,2,2,1,0,0,4,16,2,67,5,67,5,2,6,0,8,19.39411683972032,-99.20034736912335
O-3.6.9,ALVARO OBREGON,PLATEROS,1,1,0,0,0,1,2,0,0,3,7,0,46,2,46,2,3,13,0,3,19.39411683972032,-99.20034736912335
O-3.6.9,ALVARO OBREGON,PLATEROS,9,2,0,0,1,2,1,1,0,3,11,0,48,2,48,2,3,9,0,8,19.39411683972032,-99.20034736912335
O-3.6.9,ALVARO OBREGON,PLATEROS,1,0,0,0,1,0,1,1,0,9,0,1,24,3,24,3,5,3,0,1,19.39411683972032,-99.20034736912335
O-3.6.9,ALVARO OBREGON,PLATEROS,1,0,0,0,1,0,0,2,1,12,1,1,36,5,36,5,5,11,0,7,19.39411683972032,-99.20034736912335
O-3.6.9,ALVARO OBREGON,PLATEROS,3,0,0,0,1,0,0,0,1,3,0,0,15,0,15,0,1,7,0,1,19.39411683972032,-99.20034736912335
O-3.6.9,ALVARO OBREGON,SAN ANGEL,0,0,0,1,1,0,2,1,1,2,0,0,11,3,11,3,0,9,0,0,19.32235381194663,-99.21384566856237
O-3.6.9,ALVARO OBREGON,SAN ANGEL,0,0,0,0,0,3,0,2,0,0,1,0,1,1,1,1,1,3,0,0,19.32235381194663,-99.21384566856237
O-3.6.9,ALVARO OBREGON,SAN ANGEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,19.32235381194663,-99.21384566856237
O-3.6.9,ALVARO OBREGON,SAN ANGEL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,19.32235381194663,-99.21384566856237
O-3.6.9,ALVARO OBREGON,SAN ANGEL,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,3,0,0,19.32235381194663,-99.21384566856237
O-3.6.9,ALVARO OBREGON,SAN ANGEL,0,0,0,1,0,0,1,1,0,2,0,0,12,4,12,4,1,11,0,1,19.32235381194663,-99.21384566856237
O-3.6.9,ALVARO OBREGON,SAN ANGEL,0,0,1,1,0,2,1,1,0,0,0,1,6,6,6,6,2,5,0,0,19.32235381194663,-99.21384566856237
O-3.6.9,ALVARO OBREGON,SAN ANGEL,0,0,0,0,2,1,0,0,1,3,0,0,12,2,12,2,5,4,0,0,19.32235381194663,-99.21384566856237
O-3.6.9,ALVARO OBREGON,SAN ANGEL,0,0,0,0,0,0,0,0,0,1,1,0,12,4,12,4,1,2,0,2,19.32235381194663,-99.21384566856237
O-3.6.9,ALVARO OBREGON,SAN ANGEL,0,0,0,0,1,0,0,0,0,4,0,0,12,2,12,2,6,8,0,0,19.32235381194663,-99.21384566856237
O-3.6.9,ALVARO OBREGON,SAN ANGEL,0,0,0,0,0,1,1,0,1,3,1,1,5,2,5,2,0,3,0,1,19.32235381194663,-99.21384566856237
O-3.6.9,ALVARO OBREGON,SAN ANGEL,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,2,0,0,19.32235381194663,-99.21384566856237
O-3.6.9,ALVARO OBREGON,SAN ANGEL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19.32235381194663,-99.21384566856237
O-3.6.9,ALVARO OBREGON,SANTA FE,3,2,0,0,1,2,5,1,0,16,15,2,53,5,53,5,8,10,0,7,19.379618541966316,-99.23329931354097
