estados,delitos_denunciados
Aguascalientes,45778.0
Baja California,119353.0
Baja California Sur,15104.0
Campeche,17786.0
Coahuila,59245.0
Colima,18995.0
Chiapas,84534.0
Chihuahua,75489.0
Ciudad de Mexico,399437.0
Durango,92857.8889
Guanajuato,107159.0
Guerrero,38291.0
Hidalgo,82644.0
Jalisco,166650.0
Mexico,619587.0
Michoacan,57334.0
Morelos,47609.0
Nayarit,17981.0
Nuevo Leon,104807.0
Oaxaca,41337.0
Puebla,153948.0
Queretaro,69009.0
Quintana Roo,53660.0
San Luis Potosi,43239.0
Sinaloa,31186.0
Sonora,59226.0
Tabasco,42787.0
Tamaulipas,49832.0
Tlaxcala,29059.0
Veracruz,101202.0
Yucatan,32719.0
Zacatecas,23761.0
