estados,delitos_no_denunciados
Aguascalientes,89.54
Baja California,91.17
Baja California Sur,90.71
Campeche,90.77
Coahuila,93.16
Colima,90.4
Chiapas,91.48
Chihuahua,92.3
Ciudad de Mexico,92.2
Durango,91.3033
Guanajuato,94.48
Guerrero,96.18
Hidalgo,92.27
Jalisco,92.96
Mexico,92.82
Michoacan,94.44
Morelos,92.95
Nayarit,94.04
Nuevo Leon,94.58
Oaxaca,94.24
Puebla,93.6
Queretaro,91.78
Quintana Roo,91.34
San Luis Potosi,96.31
Sinaloa,96.7
Sonora,94.33
Tabasco,94.41
Tamaulipas,94.11
Tlaxcala,92.82
Veracruz,93.24
Yucatan,94.77
Zacatecas,92.0
