estados,porcentaje_delitos_portacion_armas_ueco
Aguascalientes,16.71
Baja California,63.97
Baja California Sur,8.44
Campeche,17.98
Coahuila,22.41
Colima,9.09
Chiapas,25.47
Chihuahua,27.93
Ciudad de Mexico,21.4
Durango,23.7111
Guanajuato,24.12
Guerrero,23.6
Hidalgo,29.91
Jalisco,59.47
Mexico,63.26
Michoacan,28.41
Morelos,68.18
Nayarit,18.58
Nuevo Leon,42.52
Oaxaca,25.19
Puebla,25.21
Queretaro,60.68
Quintana Roo,21.37
San Luis Potosi,25.83
Sinaloa,44.29
Sonora,20.42
Tabasco,28.99
Tamaulipas,23.57
Tlaxcala,11.12
Veracruz,60.92
Yucatan,3.12
Zacatecas,21.73
