estados,costo_delito_personas_hogares
Aguascalientes,2987575642.0
Baja California,9432247785.0
Baja California Sur,2259551288.0
Campeche,1958239965.0
Coahuila,4445202256.0
Colima,1999390325.0
Chiapas,5947577625.0
Chihuahua,8555092365.0
Ciudad de Mexico,28487934525.0
Durango,7341423530.6667
Guanajuato,11298333765.0
Guerrero,4673830168.0
Hidalgo,6752907346.0
Jalisco,28693841439.0
Mexico,49893951924.0
Michoacan,9119001689.0
Morelos,5057870571.0
Nayarit,2088274262.0
Nuevo Leon,12596096699.0
Oaxaca,5223084470.0
Puebla,13102708913.0
Queretaro,5782641411.0
Quintana Roo,6775486228.0
San Luis Potosi,4462927562.0
Sinaloa,5259765193.0
Sonora,6476340647.0
Tabasco,6474173379.0
Tamaulipas,4920896959.0
Tlaxcala,2309635527.0
Veracruz,11472405175.0
Yucatan,3330358035.0
Zacatecas,4535242586.0
